tm,avgTa,temp_diff,sumRn,avgWs,avgRhm,avgTca,O3,PM10
2021-07-09,25.035173032499998,5.770388200099999,2.9633653899,1.7581526281,81.95345917899999,7.053429285,0.029646874131,15.430011675
2021-07-10,25.6751548927,6.256063340690567,2.5320030266,2.3883498827,81.7263415966,6.9326191375,0.042717520578999996,25.255702529999997
2021-07-11,25.8838501169,5.511758019899999,0.5349689495,2.3146510501,84.89081873869999,7.065720697499999,0.04138331305199999,25.969000844
2021-07-12,27.698330467,8.1338363528,0.5542136154,1.8885168506,77.807260574,6.499966315,0.035778260962,28.591154724
2021-07-13,28.436103724,6.149456594599998,0.0,2.0647375564,75.8114997796,6.3710029952,0.02407326923,24.613413622
2021-07-14,29.0767556978,7.0925122512,0.0,2.3284900232,73.14502328930001,6.2612850984,0.018449061423999998,17.400723581
2021-07-15,28.459963985900004,7.817832059,0.36947574359999996,2.0004200382,73.99364699270001,4.867407545499999,0.021857416374,17.635676047
2021-07-16,27.888442246300002,9.3519527927,1.9081162124999995,2.1497349963000003,73.1721789191,4.5556458339,0.034546942169,20.231486158
2021-07-17,27.601036057199998,7.408757418799999,1.4440118841,2.2384227833,69.56506808950002,5.5808795371999995,0.028798201088,14.176159436
2021-07-18,28.140210205200002,7.750407026300001,2.0764502307,2.016302149,68.40949195900001,6.066360783,0.031989016561,11.385913660999998
2021-07-19,26.8295500496,6.5891062616,28.047537421900003,1.6146971826999998,77.93242475619999,7.2601897506,0.023052394605999997,13.884848345
2021-07-20,28.150298813499997,7.6697694085,0.0,1.6063190300999999,73.3914213517,7.099227524399998,0.026527324268999997,18.036895244999997
2021-07-21,29.4217380704,9.073475366499999,0.0,2.0101253970999995,67.0456371369,4.7862703154999995,0.028572216897,19.418002888
2021-07-22,29.734144567399998,8.278076511499998,0.0,2.2566754411,63.8874697336,4.9308316428,0.035166141891,22.170346194
2021-07-23,29.676709229599997,8.183634850599999,0.0,1.9960327073,65.7681961259,4.279322549,0.039208403222999996,25.529373621999998
2021-07-24,30.1237647405,8.3974024405,0.0,1.9475889600999998,63.191739779699994,4.8040256313,0.038863438125,24.25737976
2021-07-25,29.9807568425,7.884163684299999,0.0,2.1838076530999997,61.574174313899995,5.5494568213,0.036160194283,18.617616139
2021-07-26,29.830411742,7.828778390799998,0.0,2.4372999228,59.66403520289999,1.8874752531999999,0.034082576832,17.484240781
2021-07-27,29.744376302099997,8.3595917073,0.0,2.157171426,63.7266821738,2.8787931489,0.0399020145,21.807164032
2021-07-28,29.370920300199998,7.9767155915,0.3763451025,1.9522227563999999,68.7358725581,3.2827747849999995,0.043379761849,25.711905319
2021-07-29,28.75553564,8.88436586,0.10077373,1.78756173,72.23514062,4.31850385,0.0899408,38.29386536
